domain,status,reachable
www.xcams-partners.com,ONLINE,True
www.xycons.de,ONLINE,True
www.youtube.com,ONLINE,True
www.zimmerbauer.eu,ONLINE,True
zimmerbauer.eu,ONLINE,True
zoho.com,ONLINE,True
24az.de,OFFLINE,False
24azkonto.de,OFFLINE,False
40oscware.de,OFFLINE,False
admultiplier.io,OFFLINE,False
affilit.net,OFFLINE,False
angelsdark.com,OFFLINE,False
angular.js,OFFLINE,False
asdasd.ch,OFFLINE,False
ashleyonline.de,OFFLINE,False
asia-market.lu,OFFLINE,False
basic.de,OFFLINE,False
bestellungen.id,OFFLINE,False
bestätigt.da,OFFLINE,False
bitcoin-modul-gambio-shop.de,OFFLINE,False
bkscript.js,OFFLINE,False
booking.webuda.com,OFFLINE,False
checkout.js,OFFLINE,False
chillclub24.com,OFFLINE,False
citytour.ch,OFFLINE,False
community.shopware.com,OFFLINE,False
convert_assimp.py,OFFLINE,False
crm.netconnections.de,OFFLINE,False
demo.product-configurator.biz,OFFLINE,False
demo2.fakturis.org,OFFLINE,False
derfahrradprofi.de,OFFLINE,False
dev.probytes.net,OFFLINE,False
die-auktion.at,OFFLINE,False
eingibt.www.beispielgelbeseiten.at,OFFLINE,False
eufahrerlaubnis.com,OFFLINE,False
ewings.com,OFFLINE,False
ext.srf.timeline.js,OFFLINE,False
flipsters.ch,OFFLINE,False
flirtbycar.de,OFFLINE,False
fontdeck.com,OFFLINE,False
food.de,OFFLINE,False
ftp.24azkonto.de,OFFLINE,False
ftp.angelsdark.com,OFFLINE,False
ftp.wikispooks.org,OFFLINE,False
gehen.es,OFFLINE,False
hanse-muehle.de,OFFLINE,False
hase.ddns.net,OFFLINE,False
herold.ar,OFFLINE,False
hostamazingly.com,OFFLINE,False
inotify.so,OFFLINE,False
jerky-beefjerky.com,OFFLINE,False
jobbrett.net,OFFLINE,False
kino.to,OFFLINE,False
latex_3d_pdf.py,OFFLINE,False
legale.jobbrett.net,OFFLINE,False
majordomains.com,OFFLINE,False
management.it-helpdesk.eu,OFFLINE,False
mandanten_nummern.id,OFFLINE,False
marcoporta.com,OFFLINE,False
matter.js,OFFLINE,False
memcached.so,OFFLINE,False
miflora.de,OFFLINE,False
mrfreehost.de,OFFLINE,False
